Size,Time (seconds)
8000,5.14734
8000,5.14426
8000,5.14265
8000,5.14174
8000,5.2566
8000,5.24145
8000,5.21336
8000,5.21254
8000,5.24366
8000,5.22196
8000,5.21967
8000,5.22467
8000,5.1551
8000,5.16247
8000,5.16344
8000,5.16667
12000,11.5859
12000,11.5893
12000,11.6234
12000,11.5931
12000,11.8833
12000,11.7664
12000,11.8893
12000,11.8838
12000,11.7056
12000,11.6788
12000,11.7745
12000,11.741
12000,11.7504
12000,11.761
12000,11.7429
12000,11.7096
14000,15.8481
14000,15.7892
14000,15.8266
14000,15.7877
14000,16.2008
14000,16.1824
14000,15.9605
14000,16.0122
14000,16.0583
14000,15.9946
14000,16.086
14000,15.9795
14000,16.1423
14000,16.0832
14000,16.1054
14000,16.1062
16000,20.8444
16000,20.8166
16000,20.7605
16000,20.7514
16000,21.178
16000,21.7856
16000,21.7757
16000,21.7962
16000,21.1927
16000,21.2235
16000,21.2588
16000,21.2967
16000,21.1172
16000,21.1407
16000,21.0635
16000,21.1496
18000,26.2502
18000,26.2802
18000,26.2442
18000,26.2443
18000,26.8111
18000,26.7445
18000,27.0784
18000,27.0776
18000,26.5645
18000,27.0572
18000,26.6908
18000,27.1525
18000,26.703
18000,26.6553
18000,26.646
18000,26.6466
