Size,Time (seconds)
8000,9.26724
8000,9.3513
8000,9.36162
8000,7.95424
8000,14.5108
8000,14.5085
8000,14.4448
8000,14.4923
8000,14.4642
8000,14.5206
8000,14.4771
8000,14.5319
8000,16.6702
8000,15.7097
8000,16.5363
8000,18.1974
12000,25.5041
12000,25.5524
12000,25.6499
12000,18.8603
12000,31.4955
12000,31.671
12000,31.5969
12000,31.2919
12000,31.4684
12000,31.6335
12000,31.636
12000,31.5734
12000,33.4348
12000,39.8493
12000,39.2344
12000,35.4649
14000,36.2017
14000,36.4278
14000,36.7221
14000,25.8575
14000,44.998
14000,42.3721
14000,42.4572
14000,42.4388
14000,43.0318
14000,42.889
14000,42.9407
14000,42.7616
14000,43.4619
14000,46.0642
14000,44.9892
14000,46.4574
16000,43.165
16000,43.4466
16000,43.5168
16000,43.4833
16000,57.5836
16000,57.3574
16000,57.4619
16000,58.2441
16000,58.1013
16000,58.5234
16000,57.9011
16000,58.5946
16000,72.2998
16000,61.4601
16000,59.499
16000,70.6045
18000,65.5831
18000,66.1036
18000,65.9055
18000,45.0204
18000,77.3226
18000,100.524
18000,100.523
18000,74.7829
18000,91.4465
18000,75.0007
18000,89.3489
18000,74.9473
18000,75.963
18000,77.5568
18000,74.6439
18000,121.583
